,Unnamed: 0.1,year,state,county_fips,name,hh_income
0,0,2000,NE,31001,Adams County,35707.0
1,1,2000,NE,31003,Antelope County,29562.0
2,2,2000,NE,31005,Arthur County,25325.0
3,3,2000,NE,31007,Banner County,29618.0
4,4,2000,NE,31009,Blaine County,24851.0
5,5,2000,NE,31011,Boone County,30794.0
6,6,2000,NE,31013,Box Butte County,38596.0
7,7,2000,NE,31015,Boyd County,24541.0
8,8,2000,NE,31017,Brown County,27562.0
9,9,2000,NE,31019,Buffalo County,35849.0
10,10,2000,NE,31021,Burt County,32529.0
11,11,2000,NE,31023,Butler County,35154.0
12,12,2000,NE,31025,Cass County,45609.0
13,13,2000,NE,31027,Cedar County,32825.0
14,14,2000,NE,31029,Chase County,32162.0
15,15,2000,NE,31031,Cherry County,28899.0
16,16,2000,NE,31033,Cheyenne County,33606.0
17,17,2000,NE,31035,Clay County,33853.0
18,18,2000,NE,31037,Colfax County,34159.0
19,19,2000,NE,31039,Cuming County,33324.0
20,20,2000,NE,31041,Custer County,29891.0
21,21,2000,NE,31043,Dakota County,36525.0
22,22,2000,NE,31045,Dawes County,28112.0
23,23,2000,NE,31047,Dawson County,34469.0
24,24,2000,NE,31049,Deuel County,31593.0
25,25,2000,NE,31051,Dixon County,32865.0
26,26,2000,NE,31053,Dodge County,36058.0
27,27,2000,NE,31055,Douglas County,44875.0
28,28,2000,NE,31057,Dundy County,27526.0
29,29,2000,NE,31059,Fillmore County,34498.0
30,30,2000,NE,31061,Franklin County,28818.0
31,31,2000,NE,31063,Frontier County,31781.0
32,32,2000,NE,31065,Furnas County,29668.0
33,33,2000,NE,31067,Gage County,33623.0
34,34,2000,NE,31069,Garden County,25821.0
35,35,2000,NE,31071,Garfield County,27129.0
36,36,2000,NE,31073,Gosper County,35696.0
37,37,2000,NE,31075,Grant County,31779.0
38,38,2000,NE,31077,Greeley County,27825.0
39,39,2000,NE,31079,Hall County,34952.0
40,40,2000,NE,31081,Hamilton County,39193.0
41,41,2000,NE,31083,Harlan County,29678.0
42,42,2000,NE,31085,Hayes County,26545.0
43,43,2000,NE,31087,Hitchcock County,27413.0
44,44,2000,NE,31089,Holt County,29632.0
45,45,2000,NE,31091,Hooker County,27152.0
46,46,2000,NE,31093,Howard County,32325.0
47,47,2000,NE,31095,Jefferson County,31426.0
48,48,2000,NE,31097,Johnson County,31441.0
49,49,2000,NE,31099,Kearney County,37131.0
50,50,2000,NE,31101,Keith County,31379.0
51,51,2000,NE,31103,Keya Paha County,24188.0
52,52,2000,NE,31105,Kimball County,29835.0
53,53,2000,NE,31107,Knox County,26589.0
54,54,2000,NE,31109,Lancaster County,40313.0
55,55,2000,NE,31111,Lincoln County,35750.0
56,56,2000,NE,31113,Logan County,31826.0
57,57,2000,NE,31115,Loup County,24501.0
58,58,2000,NE,31117,McPherson County,25595.0
59,59,2000,NE,31119,Madison County,36159.0
60,60,2000,NE,31121,Merrick County,33466.0
61,61,2000,NE,31123,Morrill County,29086.0
62,62,2000,NE,31125,Nance County,29420.0
63,63,2000,NE,31127,Nemaha County,32789.0
64,64,2000,NE,31129,Nuckolls County,28221.0
65,65,2000,NE,31131,Otoe County,36289.0
66,66,2000,NE,31133,Pawnee County,28035.0
67,67,2000,NE,31135,Perkins County,33065.0
68,68,2000,NE,31137,Phelps County,36663.0
69,69,2000,NE,31139,Pierce County,32122.0
70,70,2000,NE,31141,Platte County,38683.0
71,71,2000,NE,31143,Polk County,36112.0
72,72,2000,NE,31145,Red Willow County,31484.0
73,73,2000,NE,31147,Richardson County,28733.0
74,74,2000,NE,31149,Rock County,25318.0
75,75,2000,NE,31151,Saline County,34600.0
76,76,2000,NE,31153,Sarpy County,52878.0
77,77,2000,NE,31155,Saunders County,39985.0
78,78,2000,NE,31157,Scotts Bluff County,31002.0
79,79,2000,NE,31159,Seward County,41093.0
80,80,2000,NE,31161,Sheridan County,28389.0
81,81,2000,NE,31163,Sherman County,27436.0
82,82,2000,NE,31165,Sioux County,27219.0
83,83,2000,NE,31167,Stanton County,35109.0
84,84,2000,NE,31169,Thayer County,30301.0
85,85,2000,NE,31171,Thomas County,26734.0
86,86,2000,NE,31173,Thurston County,26290.0
87,87,2000,NE,31175,Valley County,27607.0
88,88,2000,NE,31177,Washington County,47084.0
89,89,2000,NE,31179,Wayne County,31053.0
90,90,2000,NE,31181,Webster County,29159.0
91,91,2000,NE,31183,Wheeler County,26569.0
92,92,2000,NE,31185,York County,36367.0
93,93,2000,AL,1001,Autauga County,42463.0
94,94,2000,AL,1003,Baldwin County,41283.0
95,95,2000,AL,1005,Barbour County,26612.0
96,96,2000,AL,1007,Bibb County,31776.0
97,97,2000,AL,1009,Blount County,36863.0
98,98,2000,AL,1011,Bullock County,21400.0
99,99,2000,AL,1013,Butler County,25763.0
100,100,2000,AL,1015,Calhoun County,32604.0
101,101,2000,AL,1017,Chambers County,30505.0
102,102,2000,AL,1019,Cherokee County,31436.0
103,103,2000,AL,1021,Chilton County,33650.0
104,104,2000,AL,1023,Choctaw County,26388.0
105,105,2000,AL,1025,Clarke County,28734.0
106,106,2000,AL,1027,Clay County,28940.0
107,107,2000,AL,1029,Cleburne County,31551.0
108,108,2000,AL,1031,Coffee County,34561.0
109,109,2000,AL,1033,Colbert County,33227.0
110,110,2000,AL,1035,Conecuh County,23683.0
111,111,2000,AL,1037,Coosa County,29926.0
112,112,2000,AL,1039,Covington County,27531.0
113,113,2000,AL,1041,Crenshaw County,27345.0
114,114,2000,AL,1043,Cullman County,33441.0
115,115,2000,AL,1045,Dale County,32824.0
116,116,2000,AL,1047,Dallas County,24944.0
117,117,2000,AL,1049,DeKalb County,31087.0
118,118,2000,AL,1051,Elmore County,41233.0
119,119,2000,AL,1053,Escambia County,28942.0
120,120,2000,AL,1055,Etowah County,31490.0
121,121,2000,AL,1057,Fayette County,30362.0
122,122,2000,AL,1059,Franklin County,28341.0
123,123,2000,AL,1061,Geneva County,27382.0
124,124,2000,AL,1063,Greene County,21163.0
125,125,2000,AL,1065,Hale County,26400.0
126,126,2000,AL,1067,Henry County,31049.0
127,127,2000,AL,1069,Houston County,35287.0
128,128,2000,AL,1071,Jackson County,33289.0
129,129,2000,AL,1073,Jefferson County,37094.0
130,130,2000,AL,1075,Lamar County,29396.0
131,131,2000,AL,1077,Lauderdale County,34032.0
132,132,2000,AL,1079,Lawrence County,33794.0
133,133,2000,AL,1081,Lee County,32678.0
134,134,2000,AL,1083,Limestone County,38984.0
135,135,2000,AL,1085,Lowndes County,24089.0
136,136,2000,AL,1087,Macon County,22274.0
137,137,2000,AL,1089,Madison County,45736.0
138,138,2000,AL,1091,Marengo County,28060.0
139,139,2000,AL,1093,Marion County,28247.0
140,140,2000,AL,1095,Marshall County,32470.0
141,141,2000,AL,1097,Mobile County,34685.0
142,142,2000,AL,1099,Monroe County,29802.0
143,143,2000,AL,1101,Montgomery County,36918.0
144,144,2000,AL,1103,Morgan County,39515.0
145,145,2000,AL,1105,Perry County,20969.0
146,146,2000,AL,1107,Pickens County,27065.0
147,147,2000,AL,1109,Pike County,26317.0
148,148,2000,AL,1111,Randolph County,29048.0
149,149,2000,AL,1113,Russell County,28641.0
150,150,2000,AL,1115,St. Clair County,37513.0
151,151,2000,AL,1117,Shelby County,59451.0
152,152,2000,AL,1119,Sumter County,20582.0
153,153,2000,AL,1121,Talladega County,31457.0
154,154,2000,AL,1123,Tallapoosa County,30941.0
155,155,2000,AL,1125,Tuscaloosa County,34294.0
156,156,2000,AL,1127,Walker County,30313.0
157,157,2000,AL,1129,Washington County,31797.0
158,158,2000,AL,1131,Wilcox County,18813.0
159,159,2000,AL,1133,Winston County,28366.0
160,160,2000,MO,29001,Adair County,26484.0
161,161,2000,MO,29003,Andrew County,39183.0
162,162,2000,MO,29005,Atchison County,30181.0
163,163,2000,MO,29007,Audrain County,31184.0
164,164,2000,MO,29009,Barry County,27924.0
165,165,2000,MO,29011,Barton County,28556.0
166,166,2000,MO,29013,Bates County,29851.0
167,167,2000,MO,29015,Benton County,25334.0
168,168,2000,MO,29017,Bollinger County,28744.0
169,169,2000,MO,29019,Boone County,37295.0
170,170,2000,MO,29021,Buchanan County,32879.0
171,171,2000,MO,29023,Butler County,26071.0
172,172,2000,MO,29025,Caldwell County,30649.0
173,173,2000,MO,29027,Callaway County,36783.0
174,174,2000,MO,29029,Camden County,33388.0
175,175,2000,MO,29031,Cape Girardeau County,35678.0
176,176,2000,MO,29033,Carroll County,29484.0
177,177,2000,MO,29035,Carter County,22150.0
178,178,2000,MO,29037,Cass County,47122.0
179,179,2000,MO,29039,Cedar County,25216.0
180,180,2000,MO,29041,Chariton County,30720.0
181,181,2000,MO,29043,Christian County,37319.0
182,182,2000,MO,29045,Clark County,28807.0
183,183,2000,MO,29047,Clay County,47000.0
184,184,2000,MO,29049,Clinton County,40438.0
185,185,2000,MO,29051,Cole County,41447.0
186,186,2000,MO,29053,Cooper County,33259.0
187,187,2000,MO,29055,Crawford County,29138.0
188,188,2000,MO,29057,Dade County,28155.0
189,189,2000,MO,29059,Dallas County,26392.0
190,190,2000,MO,29061,Daviess County,29736.0
191,191,2000,MO,29063,DeKalb County,29698.0
192,192,2000,MO,29065,Dent County,25649.0
193,193,2000,MO,29067,Douglas County,24402.0
194,194,2000,MO,29069,Dunklin County,24027.0
195,195,2000,MO,29071,Franklin County,41686.0
196,196,2000,MO,29073,Gasconade County,33321.0
197,197,2000,MO,29075,Gentry County,27731.0
198,198,2000,MO,29077,Greene County,33102.0
199,199,2000,MO,29079,Grundy County,27073.0
200,200,2000,MO,29081,Harrison County,27291.0
201,201,2000,MO,29083,Henry County,29556.0
202,202,2000,MO,29085,Hickory County,23663.0
203,203,2000,MO,29087,Holt County,28439.0
204,204,2000,MO,29089,Howard County,29783.0
205,205,2000,MO,29091,Howell County,24907.0
206,206,2000,MO,29093,Iron County,24981.0
207,207,2000,MO,29095,Jackson County,39457.0
208,208,2000,MO,29097,Jasper County,30086.0
209,209,2000,MO,29099,Jefferson County,44424.0
210,210,2000,MO,29101,Johnson County,34028.0
211,211,2000,MO,29103,Knox County,25954.0
212,212,2000,MO,29105,Laclede County,28587.0
213,213,2000,MO,29107,Lafayette County,35873.0
214,214,2000,MO,29109,Lawrence County,29409.0
215,215,2000,MO,29111,Lewis County,29386.0
216,216,2000,MO,29113,Lincoln County,40690.0
217,217,2000,MO,29115,Linn County,27401.0
218,218,2000,MO,29117,Livingston County,31193.0
219,219,2000,MO,29119,McDonald County,25784.0
220,220,2000,MO,29121,Macon County,29067.0
221,221,2000,MO,29123,Madison County,24927.0
222,222,2000,MO,29125,Maries County,29446.0
223,223,2000,MO,29127,Marion County,30746.0
224,224,2000,MO,29129,Mercer County,28264.0
225,225,2000,MO,29131,Miller County,28919.0
226,226,2000,MO,29133,Mississippi County,22741.0
227,227,2000,MO,29135,Moniteau County,34298.0
228,228,2000,MO,29137,Monroe County,30273.0
229,229,2000,MO,29139,Montgomery County,31260.0
230,230,2000,MO,29141,Morgan County,28328.0
231,231,2000,MO,29143,New Madrid County,25928.0
232,232,2000,MO,29145,Newton County,32875.0
233,233,2000,MO,29147,Nodaway County,31025.0
234,234,2000,MO,29149,Oregon County,21580.0
235,235,2000,MO,29151,Osage County,37372.0
236,236,2000,MO,29153,Ozark County,24034.0
237,237,2000,MO,29155,Pemiscot County,21601.0
238,238,2000,MO,29157,Perry County,35211.0
239,239,2000,MO,29159,Pettis County,30757.0
240,240,2000,MO,29161,Phelps County,28573.0
241,241,2000,MO,29163,Pike County,30630.0
242,242,2000,MO,29165,Platte County,55046.0
243,243,2000,MO,29167,Polk County,28145.0
244,244,2000,MO,29169,Pulaski County,33208.0
245,245,2000,MO,29171,Putnam County,25450.0
246,246,2000,MO,29173,Ralls County,35234.0
247,247,2000,MO,29175,Randolph County,29706.0
248,248,2000,MO,29177,Ray County,39774.0
249,249,2000,MO,29179,Reynolds County,23903.0
250,250,2000,MO,29181,Ripley County,21911.0
251,251,2000,MO,29183,St. Charles County,55725.0
252,252,2000,MO,29185,St. Clair County,24275.0
253,253,2000,MO,29186,Ste. Genevieve County,37725.0
254,254,2000,MO,29187,St. Francois County,29848.0
255,255,2000,MO,29189,St. Louis County,48201.0
256,256,2000,MO,29195,Saline County,30129.0
257,257,2000,MO,29197,Schuyler County,26194.0
258,258,2000,MO,29199,Scotland County,26288.0
259,259,2000,MO,29201,Scott County,29920.0
260,260,2000,MO,29203,Shannon County,20237.0
261,261,2000,MO,29205,Shelby County,28579.0
262,262,2000,MO,29207,Stoddard County,26386.0
263,263,2000,MO,29209,Stone County,30731.0
264,264,2000,MO,29211,Sullivan County,25488.0
265,265,2000,MO,29213,Taney County,28970.0
266,266,2000,MO,29215,Texas County,23503.0
267,267,2000,MO,29217,Vernon County,28008.0
268,268,2000,MO,29219,Warren County,39472.0
269,269,2000,MO,29221,Washington County,25633.0
270,270,2000,MO,29223,Wayne County,22093.0
271,271,2000,MO,29225,Webster County,30381.0
272,272,2000,MO,29227,Worth County,26035.0
273,273,2000,MO,29229,Wright County,23972.0
274,274,2000,MO,29510,St. Louis city,26795.0
275,275,2000,IN,18001,Adams County,39125.0
276,276,2000,IN,18003,Allen County,41386.0
277,277,2000,IN,18005,Bartholomew County,42964.0
278,278,2000,IN,18007,Benton County,38050.0
279,279,2000,IN,18009,Blackford County,33762.0
280,280,2000,IN,18011,Boone County,50615.0
281,281,2000,IN,18013,Brown County,42724.0
282,282,2000,IN,18015,Carroll County,41402.0
283,283,2000,IN,18017,Cass County,36675.0
284,284,2000,IN,18019,Clark County,38139.0
285,285,2000,IN,18021,Clay County,35405.0
286,286,2000,IN,18023,Clinton County,38589.0
287,287,2000,IN,18025,Crawford County,31251.0
288,288,2000,IN,18027,Daviess County,32677.0
289,289,2000,IN,18029,Dearborn County,46859.0
290,290,2000,IN,18031,Decatur County,39358.0
291,291,2000,IN,18033,DeKalb County,43020.0
292,292,2000,IN,18035,Delaware County,33214.0
293,293,2000,IN,18037,Dubois County,43220.0
294,294,2000,IN,18039,Elkhart County,41752.0
295,295,2000,IN,18041,Fayette County,36314.0
296,296,2000,IN,18043,Floyd County,41637.0
297,297,2000,IN,18045,Fountain County,36600.0
298,298,2000,IN,18047,Franklin County,41930.0
299,299,2000,IN,18049,Fulton County,36395.0
300,300,2000,IN,18051,Gibson County,36561.0
301,301,2000,IN,18053,Grant County,34098.0
302,302,2000,IN,18055,Greene County,32631.0
303,303,2000,IN,18057,Hamilton County,71095.0
304,304,2000,IN,18059,Hancock County,53241.0
305,305,2000,IN,18061,Harrison County,41380.0
306,306,2000,IN,18063,Hendricks County,53964.0
307,307,2000,IN,18065,Henry County,36844.0
308,308,2000,IN,18067,Howard County,42468.0
309,309,2000,IN,18069,Huntington County,39954.0
310,310,2000,IN,18071,Jackson County,37769.0
311,311,2000,IN,18073,Jasper County,41848.0
312,312,2000,IN,18075,Jay County,33881.0
313,313,2000,IN,18077,Jefferson County,35794.0
314,314,2000,IN,18079,Jennings County,36636.0
315,315,2000,IN,18081,Johnson County,50206.0
316,316,2000,IN,18083,Knox County,30119.0
317,317,2000,IN,18085,Kosciusko County,42249.0
318,318,2000,IN,18087,LaGrange County,40880.0
319,319,2000,IN,18089,Lake County,38807.0
320,320,2000,IN,18091,LaPorte County,38170.0
321,321,2000,IN,18093,Lawrence County,35025.0
322,322,2000,IN,18095,Madison County,36850.0
323,323,2000,IN,18097,Marion County,38755.0
324,324,2000,IN,18099,Marshall County,40077.0
325,325,2000,IN,18101,Martin County,34944.0
326,326,2000,IN,18103,Miami County,37131.0
327,327,2000,IN,18105,Monroe County,32909.0
328,328,2000,IN,18107,Montgomery County,39002.0
329,329,2000,IN,18109,Morgan County,45855.0
330,330,2000,IN,18111,Newton County,38602.0
331,331,2000,IN,18113,Noble County,40656.0
332,332,2000,IN,18115,Ohio County,38954.0
333,333,2000,IN,18117,Orange County,30425.0
334,334,2000,IN,18119,Owen County,34229.0
335,335,2000,IN,18121,Parke County,33752.0
336,336,2000,IN,18123,Perry County,34857.0
337,337,2000,IN,18125,Pike County,33976.0
338,338,2000,IN,18127,Porter County,50811.0
339,339,2000,IN,18129,Posey County,43455.0
340,340,2000,IN,18131,Pulaski County,34295.0
341,341,2000,IN,18133,Putnam County,37414.0
342,342,2000,IN,18135,Randolph County,33802.0
343,343,2000,IN,18137,Ripley County,40078.0
344,344,2000,IN,18139,Rush County,36712.0
345,345,2000,IN,18141,St. Joseph County,38141.0
346,346,2000,IN,18143,Scott County,33122.0
347,347,2000,IN,18145,Shelby County,41330.0
348,348,2000,IN,18147,Spencer County,40639.0
349,349,2000,IN,18149,Starke County,34416.0
350,350,2000,IN,18151,Steuben County,41374.0
351,351,2000,IN,18153,Sullivan County,31374.0
352,352,2000,IN,18155,Switzerland County,33843.0
353,353,2000,IN,18157,Tippecanoe County,37123.0
354,354,2000,IN,18159,Tipton County,45952.0
355,355,2000,IN,18161,Union County,34954.0
356,356,2000,IN,18163,Vanderburgh County,36047.0
357,357,2000,IN,18165,Vermillion County,34048.0
358,358,2000,IN,18167,Vigo County,31699.0
359,359,2000,IN,18169,Wabash County,38272.0
360,360,2000,IN,18171,Warren County,39643.0
361,361,2000,IN,18173,Warrick County,47559.0
362,362,2000,IN,18175,Washington County,35024.0
363,363,2000,IN,18177,Wayne County,33720.0
364,364,2000,IN,18179,Wells County,41518.0
365,365,2000,IN,18181,White County,38616.0
366,366,2000,IN,18183,Whitley County,44114.0
367,367,2000,WI,55001,Adams County,31421.0
368,368,2000,WI,55003,Ashland County,30558.0
369,369,2000,WI,55005,Barron County,35447.0
370,370,2000,WI,55007,Bayfield County,32161.0
371,371,2000,WI,55009,Brown County,45357.0
372,372,2000,WI,55011,Buffalo County,36334.0
373,373,2000,WI,55013,Burnett County,32622.0
374,374,2000,WI,55015,Calumet County,50600.0
375,375,2000,WI,55017,Chippewa County,38623.0
376,376,2000,WI,55019,Clark County,33344.0
377,377,2000,WI,55021,Columbia County,43078.0
378,378,2000,WI,55023,Crawford County,32668.0
379,379,2000,WI,55025,Dane County,47814.0
380,380,2000,WI,55027,Dodge County,43246.0
381,381,2000,WI,55029,Door County,38046.0
382,382,2000,WI,55031,Douglas County,33890.0
383,383,2000,WI,55033,Dunn County,37919.0
384,384,2000,WI,55035,Eau Claire County,38306.0
385,385,2000,WI,55037,Florence County,33537.0
386,386,2000,WI,55039,Fond du Lac County,43590.0
387,387,2000,WI,55041,Forest County,30551.0
388,388,2000,WI,55043,Grant County,34728.0
389,389,2000,WI,55045,Green County,41486.0
390,390,2000,WI,55047,Green Lake County,38093.0
391,391,2000,WI,55049,Iowa County,41049.0
392,392,2000,WI,55051,Iron County,28648.0
393,393,2000,WI,55053,Jackson County,34811.0
394,394,2000,WI,55055,Jefferson County,44488.0
395,395,2000,WI,55057,Juneau County,33448.0
396,396,2000,WI,55059,Kenosha County,44468.0
397,397,2000,WI,55061,Kewaunee County,42336.0
398,398,2000,WI,55063,La Crosse County,38173.0
399,399,2000,WI,55065,Lafayette County,35468.0
400,400,2000,WI,55067,Langlade County,32177.0
401,401,2000,WI,55069,Lincoln County,37303.0
402,402,2000,WI,55071,Manitowoc County,41583.0
403,403,2000,WI,55073,Marathon County,42746.0
404,404,2000,WI,55075,Marinette County,34148.0
405,405,2000,WI,55077,Marquette County,33822.0
406,406,2000,WI,55078,Menominee County,26900.0
407,407,2000,WI,55079,Milwaukee County,37254.0
408,408,2000,WI,55081,Monroe County,35689.0
409,409,2000,WI,55083,Oconto County,39141.0
410,410,2000,WI,55085,Oneida County,36530.0
411,411,2000,WI,55087,Outagamie County,47896.0
412,412,2000,WI,55089,Ozaukee County,60714.0
413,413,2000,WI,55091,Pepin County,35816.0
414,414,2000,WI,55093,Pierce County,47407.0
415,415,2000,WI,55095,Polk County,39829.0
416,416,2000,WI,55097,Portage County,41542.0
417,417,2000,WI,55099,Price County,33820.0
418,418,2000,WI,55101,Racine County,45144.0
419,419,2000,WI,55103,Richland County,33085.0
420,420,2000,WI,55105,Rock County,42710.0
421,421,2000,WI,55107,Rusk County,30230.0
422,422,2000,WI,55109,St. Croix County,53747.0
423,423,2000,WI,55111,Sauk County,40989.0
424,424,2000,WI,55113,Sawyer County,31397.0
425,425,2000,WI,55115,Shawano County,36247.0
426,426,2000,WI,55117,Sheboygan County,44796.0
427,427,2000,WI,55119,Taylor County,36619.0
428,428,2000,WI,55121,Trempealeau County,36636.0
429,429,2000,WI,55123,Vernon County,31872.0
430,430,2000,WI,55125,Vilas County,32623.0
431,431,2000,WI,55127,Walworth County,43812.0
432,432,2000,WI,55129,Washburn County,32066.0
433,433,2000,WI,55131,Washington County,55407.0
434,434,2000,WI,55133,Waukesha County,62572.0
435,435,2000,WI,55135,Waupaca County,39153.0
436,436,2000,WI,55137,Waushara County,34742.0
437,437,2000,WI,55139,Winnebago County,43334.0
438,438,2000,WI,55141,Wood County,40612.0
439,439,2000,SD,46003,Aurora County,29336.0
440,440,2000,SD,46005,Beadle County,30751.0
441,441,2000,SD,46007,Bennett County,24239.0
442,442,2000,SD,46009,Bon Homme County,29915.0
443,443,2000,SD,46011,Brookings County,35760.0
444,444,2000,SD,46013,Brown County,35041.0
445,445,2000,SD,46015,Brule County,31115.0
446,446,2000,SD,46017,Buffalo County,13895.0
447,447,2000,SD,46019,Butte County,28456.0
