,Unnamed: 0.1,year,state,county_fips,name,personal_income
0,0,2000,CO,8001,Adams County,27029.0
1,1,2000,CO,8003,Alamosa County,22335.0
2,2,2000,CO,8005,Arapahoe County,42669.0
3,3,2000,CO,8007,Archuleta County,19911.0
4,4,2000,CO,8009,Baca County,24328.0
5,5,2000,CO,8011,Bent County,19415.0
6,6,2000,CO,8013,Boulder County,41654.0
7,7,2000,CO,8014,Broomfield County,
8,8,2000,CO,8015,Chaffee County,22492.0
9,9,2000,CO,8017,Cheyenne County,28355.0
10,10,2000,CO,8019,Clear Creek County,35797.0
11,11,2000,CO,8021,Conejos County,16100.0
12,12,2000,CO,8023,Costilla County,19034.0
13,13,2000,CO,8025,Crowley County,15933.0
14,14,2000,CO,8027,Custer County,22101.0
15,15,2000,CO,8029,Delta County,21599.0
16,16,2000,CO,8031,Denver County,39281.0
17,17,2000,CO,8033,Dolores County,19990.0
18,18,2000,CO,8035,Douglas County,44375.0
19,19,2000,CO,8037,Eagle County,40102.0
20,20,2000,CO,8039,Elbert County,31640.0
21,21,2000,CO,8041,El Paso County,30780.0
22,22,2000,CO,8043,Fremont County,19375.0
23,23,2000,CO,8045,Garfield County,31103.0
24,24,2000,CO,8047,Gilpin County,35339.0
25,25,2000,CO,8049,Grand County,28834.0
26,26,2000,CO,8051,Gunnison County,23922.0
27,27,2000,CO,8053,Hinsdale County,23070.0
28,28,2000,CO,8055,Huerfano County,17765.0
29,29,2000,CO,8057,Jackson County,20670.0
30,30,2000,CO,8059,Jefferson County,38615.0
31,31,2000,CO,8061,Kiowa County,30636.0
32,32,2000,CO,8063,Kit Carson County,25262.0
33,33,2000,CO,8065,Lake County,20974.0
34,34,2000,CO,8067,La Plata County,28370.0
35,35,2000,CO,8069,Larimer County,30898.0
36,36,2000,CO,8071,Las Animas County,20712.0
37,37,2000,CO,8073,Lincoln County,18438.0
38,38,2000,CO,8075,Logan County,24197.0
39,39,2000,CO,8077,Mesa County,25644.0
40,40,2000,CO,8079,Mineral County,23460.0
41,41,2000,CO,8081,Moffat County,23345.0
42,42,2000,CO,8083,Montezuma County,22930.0
43,43,2000,CO,8085,Montrose County,22997.0
44,44,2000,CO,8087,Morgan County,22021.0
45,45,2000,CO,8089,Otero County,22993.0
46,46,2000,CO,8091,Ouray County,27078.0
47,47,2000,CO,8093,Park County,29833.0
48,48,2000,CO,8095,Phillips County,25789.0
49,49,2000,CO,8097,Pitkin County,81354.0
50,50,2000,CO,8099,Prowers County,22369.0
51,51,2000,CO,8101,Pueblo County,23714.0
52,52,2000,CO,8103,Rio Blanco County,24773.0
53,53,2000,CO,8105,Rio Grande County,22976.0
54,54,2000,CO,8107,Routt County,34286.0
55,55,2000,CO,8109,Saguache County,17803.0
56,56,2000,CO,8111,San Juan County,25265.0
57,57,2000,CO,8113,San Miguel County,37527.0
58,58,2000,CO,8115,Sedgwick County,24747.0
59,59,2000,CO,8117,Summit County,35904.0
