,Unnamed: 0.1,year,state,county_fips,name,unemployment
0,0,2000,RI,44001,Bristol County,3.0
1,1,2000,RI,44003,Kent County,3.2
2,2,2000,RI,44005,Newport County,2.7
3,3,2000,RI,44007,Providence County,3.6
4,4,2000,RI,44009,Washington County,2.6
5,5,2000,AK,2013,Aleutians East Borough,9.3
6,6,2000,AK,2016,Aleutians West Census Area,4.3
7,7,2000,AK,2020,Anchorage Municipality,4.5
8,8,2000,AK,2050,Bethel Census Area,7.6
9,9,2000,AK,2060,Bristol Bay Borough,6.7
10,10,2000,AK,2068,Denali Borough,8.1
11,11,2000,AK,2070,Dillingham Census Area,6.0
12,12,2000,AK,2090,Fairbanks North Star Borough,5.3
13,13,2000,AK,2100,Haines Borough,6.7
14,14,2000,AK,2105,Hoonah-Angoon Census Area,
15,15,2000,AK,2110,Juneau City and Borough,4.4
16,16,2000,AK,2122,Kenai Peninsula Borough,7.2
17,17,2000,AK,2130,Ketchikan Gateway Borough,5.7
18,18,2000,AK,2150,Kodiak Island Borough,8.8
19,19,2000,AK,2164,Lake and Peninsula Borough,5.7
20,20,2000,AK,2170,Matanuska-Susitna Borough,6.4
21,21,2000,AK,2180,Nome Census Area,8.1
22,22,2000,AK,2185,North Slope Borough,8.5
23,23,2000,AK,2188,Northwest Arctic Borough,8.0
24,24,2000,AK,2195,Petersburg Borough,
25,25,2000,AK,2198,Prince of Wales-Hyder Census Area,
26,26,2000,AK,2220,Sitka City and Borough,4.2
27,27,2000,AK,2230,Skagway Municipality,
28,28,2000,AK,2240,Southeast Fairbanks Census Area,12.2
29,29,2000,AK,2261,Valdez-Cordova Census Area,7.7
30,30,2000,AK,2270,Wade Hampton Census Area,14.1
31,31,2000,AK,2275,Wrangell City and Borough,
32,32,2000,AK,2282,Yakutat City and Borough,4.6
33,33,2000,AK,2290,Yukon-Koyukuk Census Area,9.2
34,34,2000,AR,5001,Arkansas County,3.4
35,35,2000,AR,5003,Ashley County,5.0
36,36,2000,AR,5005,Baxter County,3.5
37,37,2000,AR,5007,Benton County,2.2
38,38,2000,AR,5009,Boone County,3.1
39,39,2000,AR,5011,Bradley County,5.0
40,40,2000,AR,5013,Calhoun County,4.0
41,41,2000,AR,5015,Carroll County,2.4
42,42,2000,AR,5017,Chicot County,5.6
43,43,2000,AR,5019,Clark County,3.2
44,44,2000,AR,5021,Clay County,4.8
45,45,2000,AR,5023,Cleburne County,3.6
46,46,2000,AR,5025,Cleveland County,3.9
47,47,2000,AR,5027,Columbia County,4.2
48,48,2000,AR,5029,Conway County,4.4
49,49,2000,AR,5031,Craighead County,3.5
50,50,2000,AR,5033,Crawford County,2.9
51,51,2000,AR,5035,Crittenden County,3.8
52,52,2000,AR,5037,Cross County,3.9
53,53,2000,AR,5039,Dallas County,4.2
54,54,2000,AR,5041,Desha County,5.9
55,55,2000,AR,5043,Drew County,4.5
56,56,2000,AR,5045,Faulkner County,3.1
57,57,2000,AR,5047,Franklin County,2.6
58,58,2000,AR,5049,Fulton County,3.0
